Latitude,Longitude,Name,Details,Donate
"-8.831515,30.900618","TANOUTE","undefined","0"
"-8.817243,30.908423","TANOUZAKTE","undefined","0"
"-8.7858783,30.8750257","ANNOUMSSE","undefined","0"
"-8.7755117,30.8779617","TAZIRTE","undefined","0"
"-8.8316078,30.8720123","AKHFERGA","undefined","0"
"-8.8077343,30.8753281","TAGUENZA","undefined","0"
"-8.846282,30.8547058","KORMATE","undefined","0"
"-8.8503931,30.8635888","AMDROUSS","undefined","0"
"-8.394038,30.840626","IKHFUSS","undefined","0"
"-8.399185,30.837683","ALAGOU","undefined","0"
"-8.416805,30.8556","MAGAT","undefined","0"
"-8.420602,30.837773","IFGHI","undefined","0"
"-8.327708,30.850363","AIT IBOURK","undefined","0"
"-8.329643,30.845112","TAKALIT","undefined","0"
"-8.47146,30.849606","TIZIRTNOUDBDI","undefined","0"
"-8.483847,30.835022","IGHILAN ADBDI","undefined","0"
"-8.450197,30.822635","TIRKNIT","undefined","0"
"-8.438338,30.80709","AIT MERHOUCH","undefined","0"
"-8.442221,30.819194","ARMD","undefined","0"
"-8.421309,30.800682","TALBOURINE","undefined","0"
"-8.424654,30.8032","AGUERSAFN","undefined","0"
"-8.0559287,30.7563294","IDOKKALANE","undefined","0"
"-8.07129,30.785191","TAMDNESTE","undefined","0"
"-8.0448478,30.7771686","AMSGUERTE","undefined","0"
"-8.085698,30.789924","ISLI","undefined","0"
